資產:非流動資產:不動產、廠房及設備:房屋及建築—成本,房屋及建築—成本,1411,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:房屋及建築—重估增值,房屋及建築—重估增值,1412,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計折舊—房屋及建築,累計折舊—房屋及建築,1413,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計減損—房屋及建築,累計減損—房屋及建築,1414,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:機器設備—成本,機器設備—成本,1421,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計折舊—機器設備,累計折舊—機器設備,1422,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計減損—機器設備,累計減損—機器設備,1423,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:辦公設備—成本,辦公設備—成本,1431,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計折舊—辦公設備,累計折舊—辦公設備,1432,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計減損—辦公設備,累計減損—辦公設備,1433,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:租賃資產—成本,租賃資產—成本,1441,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計折舊—租賃資產,累計折舊—租賃資產,1442,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計減損—租賃資產,累計減損—租賃資產,1443,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:出租設備—成本,出租設備—成本,1451,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計折舊—出租設備,累計折舊—出租設備,1452,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計減損—出租設備,累計減損—出租設備,1453,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:租賃權益改良—成本,租賃權益改良—成本,1461,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計折舊—租賃權益改良,累計折舊—租賃權益改良,1462,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計減損—租賃權益改良,累計減損—租賃權益改良,1463,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:未完工程及待驗設備,未完工程及待驗設備,1464,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:生產性植物—成本,生產性植物—成本,1466,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計折舊—生產性植物,累計折舊—生產性植物,1467,,,,TWD,CURRENCY,F,F,F
